Row ID,Order ID,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Base Margin,Order Date,Customer Name,Product Name,Ship Date
1.0,3.0,Low,6.0,261.54,0.04,Regular Air,-213.25,38.94,35.0,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Large Box,0.8,10/13/2010,Muhammed MacIntyre,"Eldon Base for stackable storage shelf, platinum",10/20/2010
49.0,293.0,High,49.0,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Jumbo Drum,0.58,10/1/2012,Barry French,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",10/2/2012
50.0,293.0,High,27.0,244.57,0.01,Regular Air,46.71,8.69,2.99,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.39,10/1/2012,Barry French,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",10/3/2012
80.0,483.0,High,30.0,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,0.58,7/10/2011,Clay Rozendal,R380,7/12/2011
85.0,515.0,Not Specified,19.0,394.27,0.08,Regular Air,30.94,21.78,5.94,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Medium Box,0.5,8/28/2010,Carlos Soltero,Holmes HEPA Air Purifier,8/30/2010
86.0,515.0,Not Specified,21.0,146.69,0.05,Regular Air,4.43,6.64,4.95,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,Small Pack,0.37,8/28/2010,Carlos Soltero,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,8/30/2010
97.0,613.0,High,12.0,93.54,0.03,Regular Air,-54.04,7.3,7.72,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.38,6/17/2011,Carl Jackson,"Angle-D Binders with Locking Rings, Label Holders",6/17/2011
98.0,613.0,High,22.0,905.08,0.09,Regular Air,127.7,42.76,6.22,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,Small Box,,6/17/2011,Carl Jackson,"SAFCO Mobile Desk Side File, Wire Frame",6/18/2011
103.0,643.0,High,21.0,2781.82,0.07,Express Air,-695.26,138.14,35.0,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,Large Box,,3/24/2011,Monica Federle,"SAFCO Commercial Wire Shelving, Black",3/25/2011
107.0,678.0,Low,44.0,228.41,0.07,Regular Air,-226.36,4.98,8.33,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Small Box,0.38,2/26/2010,Dorothy Badders,Xerox 198,2/26/2010
